ds,yearly
2017-02-12,0.05006378419101392
2017-02-19,0.027681647481847177
2017-02-26,0.03942707592837777
2017-03-05,0.05808091484919215
2017-03-12,0.07233760883398663
2017-03-19,0.09313602200564024
2017-03-26,0.12233012312710212
2017-04-02,0.13390083006504036
2017-04-09,0.101413847097473
2017-04-16,0.03939754397034693
2017-04-23,0.0006716416543242578
2017-04-30,0.024602031751368315
2017-05-07,0.0962916988967778
2017-05-14,0.16761000257704303
2017-05-21,0.21531238185724672
2017-05-28,0.2643073279296211
2017-06-04,0.3469795250808334
2017-06-11,0.4500481318252496
2017-06-18,0.5172036885958577
2017-06-25,0.5068464283332407
2017-07-02,0.4358557232748041
2017-07-09,0.35784786803181506
2017-07-16,0.30470828250814275
2017-07-23,0.26216436455904535
2017-07-30,0.20341277672494767
2017-08-06,0.1318848422260943
2017-08-13,0.07801506785839656
2017-08-20,0.05929574186724186
2017-08-27,0.060754765398151014
2017-09-03,0.061849249444648466
2017-09-10,0.06968049375123052
2017-09-17,0.10851960642115475
2017-09-24,0.17750592784384525
2017-10-01,0.23863331794131235
2017-10-08,0.26282639396343527
2017-10-15,0.281329210678177
2017-10-22,0.36908039159668643
2017-10-29,0.5630119105765756
2017-11-05,0.8032633962802574
2017-11-12,0.9707118170737277
2017-11-19,0.9888010977377858
2017-11-26,0.8835954143704375
2017-12-03,0.7423462854276606
2017-12-10,0.6238579874523147
2017-12-17,0.5209402228921125
2017-12-24,0.4050111955532171
2017-12-31,0.28496912576328903
2018-01-07,0.2043623756640204
2018-01-14,0.1853242924638876
2018-01-21,0.1951397025208564
2018-01-28,0.17972763138865164
2018-02-04,0.1227180992826653
2018-02-11,0.0586458361799678
2018-02-18,0.028526619352059454
2018-02-25,0.03605734703678337
2018-03-04,0.05514265475048497
2018-03-11,0.06972884428169829
2018-03-18,0.08848228661999465
2018-03-25,0.11738274766927623
2018-04-01,0.1346654461902999
2018-04-08,0.11049183545064091
2018-04-15,0.05047048084861699
2018-04-22,0.0035072272664900045
2018-04-29,0.015661047924050913
2018-05-06,0.08213078617930976
2018-05-13,0.1566231893252575
2018-05-20,0.20788199333081506
2018-05-27,0.253635949840476
2018-06-03,0.32955369418522906
2018-06-10,0.4324524983438267
2018-06-17,0.5103699097819612
2018-06-24,0.5144179341358611
2018-07-01,0.45063106065455605
2018-07-08,0.3702299194262207
2018-07-15,0.3125381162067155
2018-07-22,0.27041325469728694
2018-07-29,0.215469079929604
2018-08-05,0.1443172603605144
2018-08-12,0.08511124795916256
2018-08-19,0.060403682468018624
2018-08-26,0.06018166405307559
2018-09-02,0.0617966271710545
2018-09-09,0.06661957046671584
2018-09-16,0.0987592526828305
2018-09-23,0.16440197341768867
2018-09-30,0.23020294762896454
2018-10-07,0.2607358358281862
2018-10-14,0.275146989156442
2018-10-21,0.3455348982544144
2018-10-28,0.5219846726948332
2018-11-04,0.7622196333553407
2018-11-11,0.950826894892913
2018-11-18,0.9966602324270151
